job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
cb18763622358eda5566fc20073eb69b,coresignal,Desarrollador Inteligencia Artificial  - Híbrido,KPaz,"Santiago, Santiago Metropolitan Region, Chile","¡En KPaz seguimos creciendo y queremos que tú seas parte!

Cargo: Desarrollador/a con foco en Inteligencia Artificial

Modalidad: Híbrido – Las Condes, Santiago

¿Te apasiona aplicar IA para transformar procesos y experiencias? ¿Buscas un lugar donde puedas crecer profesionalmente y marcar la diferencia? En KPaz impulsamos la tecnología con propósito, y queremos sumar a alguien como tú 🚀

Requisitos Técnicos

• Conocimientos y experiencia en herramientas de IA como:


 – AI Builder

 – Azure Cognitive Services

 – OpenAI / GPT APIs

• Capacidad de diseñar soluciones basadas en IA para automatizar tareas o enriquecer productos digitales
• Conocimientos en consumo de APIs REST y manipulación de JSON
• Experiencia en proyectos de innovación, prototipado o automatización inteligente
• Nivel intermedio en Microsoft Azure u otras nubes (deseable)
• Trabajo colaborativo en entornos ágiles


Beneficios De Ser Parte De KPaz

• Seguro de vida y seguro complementario de salud 
• Reajuste IPC semestral
• Programas de referidos (clientes y candidatos)
• Acceso a formación continua con Platzi 
• Plan de carrera y movilidad interna
• Día libre por cumpleaños 
• Regalos por nacimiento o matrimonio",[],[],2025-06-05 07:01:47,https://www.linkedin.com/jobs/view/desarrollador-inteligencia-artificial-h%C3%ADbrido-at-kpaz-4245062032,,[],2025-07-03
70e44cdaee78bac65986475fd9420580,coresignal,Gerente Sr. de Estrategia en Inteligencia Artificial,Farmacias del Ahorro,"Santa Catarina, Nuevo León, Mexico","Farmacias del Ahorro es una compañía 100% mexicana, dedicada a proveer servicios de salud y bienestar a todos los mexicanos. Con una destacada trayectoria de más de 30 años en el mercado, hemos logrado un crecimiento firme y constante, brindando servicio a través de nuestras más de 1,800 sucursales y un gran equipo de trabajo mayor a 22,000 colaboradores. Somos la cadena farmacéutica líder a nivel nacional. ¡Únete a nuestro equipo!


Descripción general:
Diseñar y orquestar la arquitectura de Inteligencia Artificial de la compañía, definiendo los lineamientos técnicos y éticos, liderando el desarrollo de modelos predictivos, automatizaciones inteligentes y herramientas cognitivas que generen eficiencia y valor sostenible para el negocio.


Funciones generales:


Diseño Estratégico y Evolución de la Experiencia:
• Identificar oportunidades de evolución en los puntos de contacto del cliente mediante el uso de tecnologías emergentes (IA, NLP, RPA, entre otros).
• Codiseñar junto con otras áreas estrategias de transformación centradas en el cliente, apalancadas en inteligencia artificial.


Implementación de Soluciones de IA y Automatización:
• Implementación de proyectos de IA que representen eficiencia, mejora e incremento de productividad en los procesos de la compañía.
• Liderar proyectos de implementación de asistentes virtuales, motores de recomendación, análisis de sentimientos, y automatización de procesos de atención.
• Gestionar pilotos y pruebas de concepto para validar nuevas tecnologías que potencien la experiencia del cliente.


Modelos Predictivos:
• Priorizar el desarrollo de nuevos modelos según impacto esperado y madurez digital de la organización.
• Desarrollar modelos de predicción de comportamiento, segmentación y retención de clientes.
• Crear y mantener un portafolio de modelos activos con la documentación, impacto, fecha de actualización y plan de evolución.


Gestión de Gobierno de Modelos y Ética de IA:
• Asegurar la calidad, integridad y trazabilidad de los datos utilizados por los modelos de IA.
• Diseñar e implementar políticas y lineamientos de uso de datos para iniciativas de IA y analítica avanzada, en coordinación con áreas de cumplimiento, legales y TI.
• Evaluar soluciones de modelos de LLM aplicados para optimización de procesos e interacción con el cliente.


Requerimientos y criterios de selección:
• Licenciatura / Ingeniería en Tecnología o afín.
• Dominio avanzado del idioma inglés (indispensable).
• 5+ años de experiencia liderando iniciativas estratégicas relacionadas con tecnologías emergentes, especialmente inteligencia artificial y machine learning. 
• Conocimientos: Fundamentos de IA, machine learning, deep learning, NLP, visión por computadora, etc. Experiencia en ciclo de vida de proyectos de IA: desde la recolección de datos hasta el deployment. Conocimiento general de herramientas y plataformas digitales. Análisis de impacto y retorno de inversión (ROI) de proyectos de IA.
• Competencias: Enfoque en el cliente, Innovación, Liderazgo, Pensamiento analítico.


Modelo de trabajo:
Presencial


En Farmacias del Ahorro, ¡Te queremos... Bien! Promovemos y verificamos la adopción de medidas a favor de la igualdad de oportunidades y la eliminación de toda forma de discriminación en cualquiera de nuestros procesos de selección y en nuestros centros de trabajo. Nunca te solicitaremos ningún tipo de pago como parte del proceso de reclutamiento, toma precauciones y evita caer en fraude.",[],[],2025-06-05 01:02:16,https://www.linkedin.com/jobs/view/gerente-sr-de-estrategia-en-inteligencia-artificial-at-farmacias-del-ahorro-4244926856,,[],2025-07-03
e9c1923e092ec6914b275d8a79019920,coresignal,INTELIGENCIA ARTIFICIAL,Grupo Automundo,"México, Mexico","IMPLEMENTADOR DE IA 


Requisitos:-
• Escolaridad: Ing. en sistemas, Tecnologías de la información o afines. 
• Disponibilidad para trabajar en INTERLOMAS Y VALLEJO (1 ó 2 días a la semana)
• Conocimientos básicos en herramientas de IA aplicada: Chat GPT, GPTs personalizados, Zapier, Make u otras plataformas de automatización. INDISPENSABLE 
Actividades principales
• Apoyar en la identificación de oportunidades para el uso de IA en áreas clave del negocio.
• Configurar e integrar herramientas de IA en tareas específicas bajo supervisión.
• Participar en la creación de Custom GPTs u otras soluciones según necesidades puntuales.
• Asistir en la preparación de materiales y dinámicas de capacitación interna.
• Brindar soporte básico a usuarios en el uso de herramientas tecnológicas.
• Documentar flujos, tareas automatizadas y herramientas utilizadas.
• Proponer mejoras simples y dar seguimiento a resultados medibles.
Competencias
• Facilidad de palabra
• Proactiv@
• Resolución de problemas
Ofrecemos:
• $18 mil mensuales brutos
• Prestaciones de ley
• Fondo y caja de ahorro
• Premio por puntualidad y asistencia
• Comedor subsidiado
• Apoyo con estacionamiento
• Plan de aprendizaje continuo con acompañamiento y capacitación.
• Proyectos reales con impacto directo en el negocio.
• Posibilidad de crecer hacia roles más senior en transformación digital o automatización.
• Horarios de trabajo: de lunes a viernes de 9 am a 6:30 pm y sábados de 9 am a 2 pm.",[],[],2025-06-05 00:05:14,https://www.linkedin.com/jobs/view/inteligencia-artificial-at-grupo-automundo-4244915048,,[],2025-07-03
a8bbfc888f06cd2817ff36a5a877b567,coresignal,Profesor Investigador (Inteligencia Artificial o Investigación de Operaciones),Universidad Panamericana campus Aguascalientes,"Aguascalientes, Aguascalientes, Mexico","Convocatoria para posición académica en la Universidad Panamericana


Área: Investigación Operativa Aplicada o Inteligencia Artificial
La Universidad Panamericana busca cubrir una posición académica en el área de Investigación de Operaciones Aplicada o Inteligencia Artificial.


Los candidatos deben contar con un doctorado en Investigación de Operaciones o Inteligencia Artificial relacionado con uno o más de los siguientes temas: Logística, Inventarios, Cadenas de Suministro, Simulación, Programación de Operaciones, Optimización, Ciencia de Datos, Algoritmos Metaheurísticos, Inteligencia Artificial, Visión por Computadora, Procesamiento de Lenguaje Natural o Computación Evolutiva. 


Se requiere un historial constante de publicaciones en Scopus o Web of Science y al menos dos artículos como primer autor en revistas indexadas en JCR en las áreas de investigación señaladas. La persona seleccionada impartirá cursos en la Facultad de Ingeniería.


Perfil deseado del candidato:
Se espera que los candidatos sean proactivos y posean un conocimiento sólido del área de investigación. Deben ser capaces de llevar a cabo actividades de investigación de forma independiente, seleccionar los métodos y técnicas apropiados, y brindar acompañamiento y orientación a estudiantes que participen en el proyecto. Asimismo, deberán ser capaces de diseñar, organizar y desarrollar un proyecto de investigación propio, alternando entre trabajo individual y colaborativo con otros investigadores.


Conocimientos o habilidades requeridas:
Los candidatos deben tener dominio del inglés escrito y un buen nivel de expresión oral en inglés. Además, se espera que cuenten con habilidades sólidas en lenguajes de programación como Python, R, Java, MatLab o C++; habilidades interpersonales, de comunicación y para generar redes de colaboración; un fuerte compromiso con el entorno académico y de investigación; pasión por la enseñanza y la transferencia de conocimiento; así como una actitud positiva para desarrollar el proyecto de investigación en la Universidad, aprovechando los recursos disponibles y colaborando con otros colegas investigadores para crear redes relevantes para el proyecto y oportunidades futuras de investigación o financiamiento.",[],[],2025-06-03 17:02:42,https://www.linkedin.com/jobs/view/profesor-investigador-inteligencia-artificial-o-investigaci%C3%B3n-de-operaciones-at-universidad-panamericana-campus-aguascalientes-4243881810,,[],2025-07-03
b1df6c69e3b28475fb9955637ed249c1,coresignal,¿Quieres iniciar tu experiencia profesional desarrollando la Inteligencia Artificial y Big Data en una empresa TOP a nivel industrial?,Valeo,"Martos, Andalusia, Spain","Optimizations Industrial Process And Tasks

This role involves building and training machine learning models, designing algorithms, and collaborating with cross-functional teams to ensure AI solutions align with business objectives.

From natural language processing (NLP) to computer vision, AI engineers tackle complex problems using cutting-edge tools like TensorFlow, PyTorch, and AWS. Their work not only improves operational functionality but also paves the way for predictive analytics, generative AI, and intelligent automation.

Basic Knowledge In Typical AI Algorithms

• ""Decision Tree""
• ""Random Forest""


Education: University degree in Computer science / engineering / programming, cryptography option is highly wished, including the expertise in AI.

Languages

• English : advanced/ fluent communication


Skills/Competencies

• Strong communication skills,
• Ability to work to own initiative,
• Strategic problem-solvers,
• Pragmatism, Curiosity , Open mindset for changes,
• Networking knowledge (LAN, SCADA, Ethernet, Wifi etc…)
• Cybersecurity basics knowledge 
• Cryptographic standards
• Basics of software programmation (C++; python; Java script, R,......)
• SQL server
• Big Data",[],[],2025-06-03 14:03:44,https://www.linkedin.com/jobs/view/%C2%BFquieres-iniciar-tu-experiencia-profesional-desarrollando-la-inteligencia-artificial-y-big-data-en-una-empresa-top-a-nivel-industrial%3F-at-valeo-4243823000,,[],2025-07-03
c3a85e7f05411037eef776703c353e86,coresignal,Estagiario em inteligencia artificial e automacao modelo hibrido presencial e remoto av angelica sp,Netvagas,"São Paulo, São Paulo, Brazil","Descrição da Vaga

Buscamos um estagiário entusiasmado e talentoso para se juntar à nossa equipe de Marketing e Tecnologia. O candidato ideal terá uma paixão por tecnologia e um forte desejo de aprender sobre inteligência artificial e automação.

Responsabilidades

Auxiliar na coleta e análise de dados para projetos de IA e automação.

Participar na implementação de chatbots para atendimento ao cliente.

Apoiar a equipe na automação de tarefas de marketing e vendas.

Contribuir para a documentação e relatórios de projetos.

Qualificações

Educação e Experiência

Cursando graduação em Ciência da Computação, Engenharia de Software, ou campos relacionados.

Alguma experiência ou projetos acadêmicos em programação (Python, Java, etc.) é desejável.

Habilidades Técnicas

Conhecimento básico de programação.

Familiaridade com conceitos de machine learning é um plus.

Habilidades Complementares

Excelentes habilidades de comunicação e trabalho em equipe.

Capacidade de resolver problemas e pensar de forma crítica.

Informações Gerais

Departamento: Marketing e Tecnologia

Localização: São Paulo, SP - Brasil

Relatório Direto: Responsável pelo Marketing e Growth

Formato da Vaga: Modelo híbrido (presencial e remoto)

Carga Horária: Estágio 30 horas semanais

Remuneração: Bolsa de R$ 2.500 + Vale-Transporte (VT)",[],[],2025-05-21 02:49:21,https://www.linkedin.com/jobs/view/estagiario-em-inteligencia-artificial-e-automacao-modelo-hibrido-presencial-e-remoto-av-angelica-sp-at-netvagas-4232497953,,[],2025-07-03
bd2d69b8d6217fd2beb0238a54b273fe,coresignal,Beca - Inteligencia Artificial (IA),Universidad Internacional de La Rioja,"Logroño, Autonomía de La Rioja, Spain","¿Te apasiona la Inteligencia Artificial y sueñas con aplicarla a proyectos reales desde el primer día?

¡Esta es tu oportunidad! En Qualentum (empresa del Grupo Proeduca / UNIR) estamos buscando para nuestro principal cliente, Telefónica, jóvenes entusiastas de la IA para incorporarse a proyectos reales dentro de su nuevo HUB ubicado en Logroño.

Aprenderás y aplicarás técnicas de IA y machine learning en casos reales, procesamiento de lenguajes, modelos predictivos aplicados a negocio y automatización de procesos entre otras funciones.

¿Lo mejor de todo?💡Te ofrecemos una experiencia única: combinarás formación especializada en IA con prácticas reales en una gran multinacional.

Aprenderás la teoría y la pondrás en práctica al mismo tiempo. ¡Así es como se crece de verdad!

¿Qué te ofrecemos?

• 📲Duración: Beca inicial de 6 meses + posibilidad de renovación
• 🤸‍♀️Flexibilidad Horaria: Puedes elegir entre 25 o 35 horas semanales, adaptándonos a tus necesidades y compromisos académicos.
• 💶Apoyo Económico: Sabemos que estudiar y realizar prácticas puede ser un reto, por eso te ofrecemos una ayuda al estudio para que puedas concentrarte en lo que realmente importa: tu desarrollo profesional. 
• 💻 Modalidad: Híbrido
• 🌟 Desarrollo profesional: oportunidades reales de incorporación al equipo una vez hayas finalizado tu beca.
• 📚 Formación gratuita especializada a través del Título Propio Universitario UNIR-Qualentum.


¿Qué necesitas para aplicar?

• 📖 Haber finalizado estudios de Ingeniería Informática, Ingeniería de Telecomunicaciones, ADE, Física, Matemáticas o equivalentes. 
• ℹ️ Inglés avanzado
• 🗺️ Residir en Logroño o alrededores, o estar dispuesto a moverte. 
• 🗣️ Capacidad analítica y comunicativa.
• 🤝 Proactividad y colaboración en equipo.
• 🎨 Capacidad de concentración y atención al detalle.


¿Te interesa?

¡No lo pienses más! Si te gustan los retos, quieres aprender y formar parte de un gran equipo, ¡estamos deseando conocerte y empezar esta aventura juntos! 🚀

El Grupo EDUCATIVO está firmemente comprometido con la igualdad de oportunidades y la diversidad, logrando con ello crear un entorno libre de toda discriminación.",[],[],2025-05-27 12:04:49,https://www.linkedin.com/jobs/view/beca-inteligencia-artificial-ia-at-universidad-internacional-de-la-rioja-4238264185,,[],2025-07-03
0d726bea32a1619d5da873ca1dbe9edf,coresignal,Docente Especialista en Inteligencia Artificial para la gestión pública,ERCA EDUCACIÓN CONTINUA,"Lima, Peru","ERCA Educación Continua es una institución dedicada a la formación y actualización profesional de alta calidad, con enfoque práctico y flexible, especializada en sectores como salud, gestión pública, derecho, educación y tecnologías, contribuyendo al desarrollo de competencias técnicas a nivel nacional.


¡Buscamos Docentes para el dictado de capacitación en el sector público!


ERCA Educación Continua invita a profesionales calificados a postular a la presente convocatoria para la contratación de servicios de docencia, con el objetivo de dictar el curso:


“Inteligencia artificial para la Gestión Pública”


Requisitos:
▪ Título profesional universitario en Ingeniería de Sistemas, Ingeniería Industrial, Administración o Economía y/o Maestría en Inteligencia Artificial, Dirección de Sistemas, Tecnologías de la Información y/o Ciencia de Datos.
▪ Registro del título en SUNEDU o en el Ministerio de Educación; en caso contrario, se deberá presentar copia del diploma correspondiente
▪ Experiencia acreditada mediante certificados, constancias de trabajo, contratos u órdenes de servicio, con sus respectivas conformidades o documentos de cierre


Modalidad de contratación: Prestación de servicios


Postulación:
Los interesados deberán enviar su CV documentado al correo: licitaciones@escuelanacional.edu.pe 


Plazo de recepción de postulaciones: hasta el viernes 04 de julio.


ERCA Educación Continua reafirma su compromiso con la calidad educativa y la formación especializada de alto nivel.",[],[],2025-07-03 17:00:43,https://www.linkedin.com/jobs/view/docente-especialista-en-inteligencia-artificial-para-la-gesti%C3%B3n-p%C3%BAblica-at-erca-educaci%C3%B3n-continua-4261727069,,[],2025-07-03
fc20d69c06106cb27f8749bfb3d4849c,coresignal,DESENVOLVEDOR INTELIGENCIA ARTIFICIAL SR - PICPAY NEGÓCIOS,PicPay,"São Paulo, São Paulo, Brazil","Sobre o PicPay

Com mais de dez anos de história, o PicPay é um ecossistema completo de serviços financeiros e não-financeiros que tem como objetivo atender as necessidades diárias de milhares de pessoas e negócios, tornando-se a sua principal conta do dia a dia.

Fundada em Vitória (ES), a empresa já conta com mais de 35 milhões de clientes ativos e faz parte do grupo J&F, um dos maiores conglomerados empresariais do Brasil. A companhia atua em diversas frentes, como Serviços Financeiros para Pessoa Física, Serviços Financeiros para Pessoa Jurídica, Investimentos e PicPay Shop.

Pautados pela nossa cultura, seguimos no propósito de dar muito mais pique para a vida de milhões de brasileiros. Conheça nossos valores: Atitude de Dono(a), Disciplina, Determinação, Disponibilidade, Simplicidade, Humildade e Franqueza.

O respeito, a ética, a busca pela equidade e a valorização da pluralidade são elementos inegociáveis e fazem parte da prática no nosso dia a dia aqui no PicPay. Por isso, esta vaga está aberta para todas as pessoas, independente de gênero, religião, etnia, deficiência, idade, orientação sexual ou qualquer outro fator.

Conheça melhor a unidade de negócio que essa vaga pertence:

Nossa unidade PicPay Negócios , tem a missão de simplificar a vida de ""quem vende alguma coisa"". Da grande empresa ao pequeno empreendedor. Por aqui, você fará parte da construção e desenvolvimento de produtos e serviços que simplificam a vida de milhões de brasileiros e empresas.

Sobre a vaga:

Que tal fazer parte de uma equipe apaixonada por inovação, ajudando a moldar o futuro da Inteligência Artificial? No PicPay, buscamos AI Engineers que desejem criar soluções de software baseadas em AI, unindo engenharia de software, modelos tradicionais de machine learning, modelos de processamento de linguagem natural (NLP) a tecnologias de ponta em GenAI (como GPT, LLaMA, Gemini, Nova e muitas outras). Nosso propósito é levar aos nossos usuários uma experiência descomplicada e envolvente em cada etapa de sua jornada.

Aqui, valorizamos uma cultura orientada por dados, em que decisões são pautadas por informações sólidas e de qualidade. Como AI Engineer no PicPay, você será fundamental na concepção, desenvolvimento, escalabilidade e implementação de sistemas robustos que usam AI e que entreguem valor real para clientes, parceiros e colaboradores.

Procuramos profissionais que combinem sólida experiência em Engenharia de Software e conhecimento em Machine Learning a habilidades interpessoais exemplares e uma energia para encarar grandes desafios e inspirar o time. Se você está pronto para transformar a maneira como as pessoas interagem com a tecnologia, o PicPay é o seu lugar! Vamos juntos construir o futuro com AI.

Responsabilidade e atribuições:

Essas responsabilidades ressaltam o papel fundamental do(a) AI Engineer em ajudar a liderar e principalmente contribuir no desenvolvimento de soluções inovadoras alinhadas aos objetivos de negócio, participando ativamente de discussões técnicas para impulsionar a evolução contínua da empresa. Dentre as principais atribuições, destacam-se:

• Colaborar com times multidisciplinares nas atividades diárias, propondo soluções que atendam às metas de negócio e contribuindo para a entrega contínua de valor.
• Equilibrar velocidade e qualidade de desenvolvimento, gerenciando de forma estratégica as dívidas técnicas para manter eficiência e eficácia em médio e longo prazos.
• Participar da definição de arquitetura da plataforma, elaborando provas de conceito conforme necessário e adotando melhores práticas de engenharia para escalabilidade e robustez das soluções.
• Assegurar documentação atualizada dos serviços, aplicações e decisões arquiteturais, garantindo a disseminação de conhecimento e a manutenção adequada dos sistemas.
• Selecionar as ferramentas e tecnologias mais adequadas para cada desafio, mantendo uma postura flexível e comprometida com a excelência das entregas.
• Monitorar e manter modelos, serviços e sistemas em produção, garantindo a consistência dos resultados e a rápida adaptação a eventuais mudanças.
• Desenvolver soluções avançadas de AI Generativa, abrangendo chatbots, interpretação de texto, criação de imagens, buscas semânticas, sistemas de recomendação e outros casos de uso inovadores, alinhados às necessidades estratégicas do negócio.


Requisitos e qualificações:

• Experiência sólida em Engenharia de Software
• Conhecimento em Machine Learning, com ênfase em ao menos uma das seguintes técnicas: NLP, modelos de classificação, clusterização, information retrieval, sistemas de recomendação e OCR;
• Experiência em pelo menos uma das seguintes linguagens: Python, Java, Kotlin, Scala e/ou GoLang, demonstrando habilidades de programação de alto nível;
• Experiência em lidar com grandes volumes de dados e programação distribuída, demonstrando habilidades em lidar com problemas de escalabilidade e desempenho;
• Paixão por tecnologia e mente inovadora, com um interesse ativo em acompanhar as últimas tendências e avanços em AI e engenharia de software;
• Capacidade de análise e resolução de problemas complexos, combinada com uma abordagem organizada e estruturada;
• Habilidades de comunicação e colaboração, trabalhando efetivamente em equipes multidisciplinares e sendo capaz de compartilhar conhecimentos e influenciar positivamente o ambiente de trabalho;
• Experiência em tomadas de decisões técnicas baseadas em dados.


Conhecimentos desejáveis:

• Formação acadêmica relevante em Ciência da Computação, Engenharia, Matemática ou área relacionada, principalmente Mestrado e/ou Doutorado;
• Amplo conhecimento em padrões de projetos e boas práticas de software, garantindo a criação de soluções robustas, escaláveis e de alta qualidade;
• Arquitetura de Micro-serviços (Kubernetes);
• Databases relacionais e não relacionais;
• Aplicações Cloud Native - AWS ou GCP ou Azure;
• Processamento de dados em grande escala ( Spark );
• Observabilidade;
• Conhecimento com Kafka, SNS, SQS;


Habilidades diferenciais:

• Experiência com projetos de GenAI com assistentes, agentes e copilotos;
• Publicações e contribuições para a comunidade: Participação ativa em conferências, publicações em periódicos científicos ou contribuições significativas em projetos de código aberto no campo de Data Science e Machine Learning;
• Conhecimento e experiência em lidar com dados financeiros, incluindo processamento de transações, segurança de dados e privacidade;
• Participação em projetos open source;


O que oferecemos:

Saúde e Bem-estar

• Assistência Médica e Odontológica;
• Seguro de Vida;
• Programa Lado a Lado, com apoio jurídico, social, psicológico e financeiro;
• Wellhub.


Alimentação/ Mobilidade ou Teletrabalho:

• Cartão de crédito PicPay Benefícios, com ampla aceitação, onde você recebe seu saldo de Alimentação/Refeição e Mobilidade ou Teletrabalho (de acordo com o seu contrato de trabalho).


Licença Paternidade e Maternidade:

• Licença Maternidade estendida de 6 meses, e de Paternidade também estendida de 20 dias.
• Programa ""Novo Ser"", que acompanha nossas mamães durante toda a gestação e no retorno da licença. Falando nisso, ao retornar da licença maternidade, as mamães ainda contam com a ajuda do Auxílio Creche e também os papais que possuem guarda unilateral ou compartilhada.


Reconhecemos resultados: PPR- Participação nos Resultados do PicPay.

#VemserPicpayLover #Picpay -1",[],[],2025-05-22 01:14:36,https://www.linkedin.com/jobs/view/desenvolvedor-inteligencia-artificial-sr-picpay-neg%C3%B3cios-at-picpay-4234755822,,[],2025-07-03
af887a86a50643e62ad50b103c212255,coresignal,School Of Tech 2025 - Inteligencia Artificial - Desarrollador Python (Mínimo 3 años exp),Accenture España,Greater La Coruña Area,"En Accenture creemos en la tecnología como motor de la reinvención total de la empresa. Trabajamos con las plataformas y los partners líderes en el mercado para impulsar los negocios de nuestros clientes a través de la digitalización, la IA y los datos. Si quieres formar parte de un Great Place To Work® y formar parte de un equipo de de ma´s de 740.000 profesionales en todo el mundo, sigue leyendo:

¿Eres una persona talentosa con un año de experiencia en Machine Learning y Python?

¿Estás ansioso por adentrarte en el mundo de la IA Generativa?

Accenture te ofrece una oportunidad única para expandir tus habilidades y conocimientos en IA Generativa.

La fecha de inicio está prevista para finales de septiembre 2025.

Únete a nosotros y sé parte de nuestros proyectos internacionales donde podrás aplicar tu experiencia y crecer profesionalmente. No pierdas esta oportunidad de llevar tu carrera al siguiente nivel con Accenture.

Como parte de nuestra práctica de Inteligencia Artificial, liderarás la innovación tecnológica para nuestros clientes a través de la entrega robusta de soluciones de clase mundial. Nunca habrá un día típico y por eso a la gente le encanta estar aquí.

¡Aplica ahora y desata tu potencial en el emocionante campo de la IA Generativa!

Requisitos:


• Grado en Informática, Ingeniería o un campo relacionado.

• Mínimo de 3 años de experiencia en aprendizaje automático y programación en Python.

• Perfiles L10 de 3 años de experiencia en Python, conocimiento de frameworks y del uso de Python como arquitecto y no solo desarrollo.

• Fuertes habilidades analíticas y de resolución de problemas.

• Familiaridad con conceptos y marcos de IA Generativa es una ventaja.

• Excelentes habilidades de comunicación y trabajo en equipo.

• Pasión por aprender y mantenerse al día con las tecnologías emergentes.



Idiomas: español, inglés.

Además, te ofrecemos otros beneficios como:


• Seguro médico, de Vida y accidentes

• Servicio médico y programas de bienestar

• Programa de retribución flexible y compra de acciones

• Programas de flexibilidad (horaria, de días libres, vacaciones...)

• Itinerario formativo individualizado

• Programas de sostenibilidad y Fundación Accenture

• Red de empleados por la diversidad

• Otros beneficios: Oficina Bankinter con condiciones especiales y reparto de beneficios



El puesto se desarrollará bajo un modelo de trabajo híbrido, permitiéndote trabajar algunos días desde casa y otros en la oficina, donde podrás crear sinergias interesantes con el resto de tu equipo.

 #ACNArtificialIntelligence",[],[],2025-05-21 00:20:22,https://www.linkedin.com/jobs/view/school-of-tech-2025-inteligencia-artificial-desarrollador-python-m%C3%ADnimo-3-a%C3%B1os-exp-at-accenture-espa%C3%B1a-4231176257,,[],2025-07-03
