job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date
cd925bbbdc6d38dac5c90d86ddd02282,jooble,Y Program Director,Greater Burlington YMCA,Vermont,"&nbsp;...will begin on August 11, 2025 with the new school year- interviews will take place in July 

 The Greater Burlington YMCA is hiring a  <b>Y </b>Program Director  to lead both our Afterschool and Camp Koda youth programs in Georgia. In this dynamic, year-round role, you’ll...&nbsp;",[],Electrónica y Automatización,2025-07-01T00:00:00.0000000,https://jooble.org/jdp/4478312088153293431,,[],2025-07-18
a0820ed2d0599ada41c634cd91bcd0a0,jooble,Tecnico de Electronica,AppleOne,Puerto Rico,"&nbsp;...Estamos en búsqueda de un/a Técnico en Electrónica para realizar tareas de instalación, diagnóstico, mantenimiento <b>y </b>reparación de equipos electrónicos. Esta posición requiere conocimientos técnicos sólidos, atención al detalle y capacidad para trabajar tanto de forma...&nbsp;",[],Electrónica y Automatización,2025-07-17T15:59:13.7706815+00:00,https://jooble.org/jdp/-2231112345442850694,,[],2025-07-18
2b8b1051fa01f35d2247f5a599cd9e4f,jooble,F&I / Financiamiento y Seguros,AutoGrupo,Puerto Rico,&nbsp;...encarga de completar el proceso de cierre del financiamiento de un auto. Brinda al cliente las mejores alternativas de financiamiento <b>y </b>seguros en el mercado. Enfatiza la importancia de los beneficios de protección adicional para el vehículo adquirido. Completa la documentaci...&nbsp;,[],Electrónica y Automatización,2025-07-01T00:00:00.0000000,https://jooble.org/jdp/2481279625338179673,,[],2025-07-18
60a40e898b3a644f1bd949da2552f566,jooble,Instructor(a) Panadería y Repostería Internacional,NUC University,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción: 
 Impartirá enseñanza a grupo(s) de estudiantes en el área de  Panadería <b>y </b>Repostería Internacional  a través de programas de estudios conducentes a Diplomas y Grados Asociados. 
 Requisitos: 
 Diploma o grado mayor en...&nbsp;",[],Electrónica y Automatización,2025-06-29T00:00:00.0000000,https://jooble.org/jdp/5393588617547232562,,[],2025-07-18
aa1f0d61315179d4d0f3d41b3f997092,jooble,Técnico de Producción y Montaje,Mate LLC,Puerto Rico,"&nbsp;...LLC es una empresa de Producción de Exhibidores, Eventos e Impresión a nivel corporativo, establecida desde febrero de 2019. Diseñamos <b>y </b>construimos Booth Corporativos. Nos dedicamos a la producción de Eventos, desde su creación hasta su implementación. Trabajamos con...&nbsp;",[],Electrónica y Automatización,2025-06-29T00:00:00.0000000,https://jooble.org/jdp/2353498399531448595,,[],2025-07-18
a032e22a219685f15b650a37cf3d968d,jooble,Servicios al Huésped y Ventas,Cracker Barrel,"Camarillo, CA","Join to apply for the Servicios al Huésped <b>y </b>Ventas role at Cracker Barrel ¿POR QUÉ CRACKER BARREL? ¿Cómo es trabajar en Cracker Barrel? Se siente como ... Cuidado más allá de la mesa: en Cracker Barrel, le brindamos atención, para que pueda brindar atención a nuestros...&nbsp;",[],Electrónica y Automatización,2025-07-16T00:00:00.0000000,https://jooble.org/jdp/2469865020766598641,,[],2025-07-18
23bfbe956eef9d155f3135e0b70a950b,jooble,Instructor(a) de Gerencia y Embalsamamiento,NUC University,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción: 
 Impartirá enseñanza a grupo(s) de estudiantes en el área de  Gerencia Funeraria <b>y </b>Embalsamamiento  a través de programas de estudios conducentes a Diplomas y Grados Asociados. 
 Requisitos: 
 Diploma en Embalsamamiento...&nbsp;",[],Electrónica y Automatización,2025-06-24T00:00:00.0000000,https://jooble.org/jdp/-6063490439632808534,,[],2025-07-18
f45e80c11f54b44d22d45c901f09d749,jooble,Analista de Nómina y Comisiones,H & H Solar LLC,Puerto Rico,"&nbsp;...Job Description 
 Job Description  Descripción de Puesto 

 Puesto: Analista de Nómina <b>y </b>Comisiones Clasificación: No-Exento 

 Supervisor: Senior Staff Accountant Fecha revisión: septiembre 2024 


 Descripción General 

 El Analista de Nómina y Comisiones es...&nbsp;",[],Electrónica y Automatización,2025-06-22T00:00:00.0000000,https://jooble.org/jdp/-2349000355599712949,,[],2025-07-18
67e4a6e67af8b0c018bc8dd392157cef,jooble,Membership Associate - Marin Y,YMCA of San Francisco,"San Francisco, CA","&nbsp;...offers more than just a job—we offer a career with a future and the opportunity to make a lasting difference in your community. At the <b>Y,</b> you can uncover your passion and build a lifelong career addressing some of the nation’s most pressing social issues.
Our...&nbsp;",[],Electrónica y Automatización,2025-07-13T00:00:00.0000000,https://jooble.org/jdp/-5160214481163733517,,[],2025-07-18
84062b609b65aac2ce3373939cc245df,jooble,Personal de Mantenimiento y Facilidades,COREPLUS SERVICIOS CLINICOS Y PATOLOGICOS LLC,Puerto Rico,"&nbsp;...Job Description 
 Job Description 
 Personal de Mantenimiento <b>y </b>Facilidades 
 HORARIO: MARTES A SABADO 1:00PM - 9:00PM 
$12.00 POR HORA 

¿Quiénes somos?

 Por más de 26 años, CorePlus ha brindado a Puerto Rico servicios de laboratorio de anatomía patológica y...&nbsp;",[],Electrónica y Automatización,2025-06-25T00:00:00.0000000,https://jooble.org/jdp/-4736915708673635368,,[],2025-07-18
